Filename,AMP,ANDC,AWL,CAUS,CONC,COND,CONJ,DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,PHC,PIN,PIT,PLACE,POMD,PRED,PRMD,RB,SPP2,SYNE,THAC,THVC,TIME,TO,TOBJ,TPP3,TSUB,TTR,VBD,VPRT,XX0,[BEMA],[BYPA],[CONT],[PASS],[PASTP],[PEAS],[PIRE],[PRESP],[PRIV],[PROD],[PUBV],[SERE],[SMP],[SPAU],[SPIN],[STPR],[SUAV],[THATD],[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],Underused_variables,Overused_variables,
5-mistral,-1.04,1.27,2.32,-0.65,-0.62,-1.14,4.56,-0.86,-0.52,-0.52,-1.25,-0.50,-1.22,-0.96,-0.74,-0.46,-0.70,2.62,1.00,0.39,3.47,10.64,8.15,-1.02,0.04,-0.91,7.40,2.27,-0.33,-2.53,-0.72,-1.06,-0.50,0.31,-0.89,3.00,1.18,-0.11,7.37,0,-1.18,-1.34,-0.70,-1.64,-0.62,-0.73,-1.14,-0.25,-1.65,-0.64,-0.59,-0.31,-0.86,-0.65,10.25,-0.80,-0.52,0.00,-0.74,8.61,-0.24,-0.60,-0.82,-0.33,-1.05,-0.13,-0.89,RB ,AWL CONJ JJ NOMZ OSUB PHC POMD PRED TO TSUB [SERE] [SUAV] 
2-mistral,-1.04,0.81,3.05,-0.65,-0.62,-0.18,5.81,0.14,0.35,-0.52,1.37,-1.50,-1.22,-0.56,-1.84,-0.46,-0.70,0.89,3.00,-0.49,6.17,2.91,12.70,-0.23,-0.27,-0.91,1.34,1.42,-1.33,-2.66,-0.72,-1.06,-0.50,2.48,-1.49,2.57,3.09,0.07,10.00,0,-1.32,-0.19,-0.70,-1.00,1.00,-0.73,-0.82,5.00,-0.44,5.09,4.35,-0.33,-0.86,0.91,5.00,-0.80,-1.36,21000.00,-0.74,1.77,0.27,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,RB ,AWL CONJ NEMD NOMZ OSUB PHC THVC TO TOBJ TSUB [PASTP] [PIRE] [PRESP] [SERE] [SPIN] 
3-mistral,0.65,0.46,2.35,0.65,-0.62,-1.14,6.19,-1.83,0.90,-0.52,1.50,1.14,2.50,0.91,2.82,-0.46,-0.70,2.31,-1.00,-0.15,1.08,3.09,5.30,-0.51,-0.51,-0.91,4.69,1.62,-1.33,-1.84,-0.72,-1.06,-0.50,-1.14,-0.86,2.09,1.27,-0.84,-0.50,0,-1.17,-0.78,-1.03,-2.04,-0.62,-0.73,-0.79,-0.25,-1.65,1.36,4.65,0.83,-0.86,0.22,-0.25,-0.80,-0.44,22000.00,-0.74,1.94,-0.22,-0.60,0.47,-0.33,1.15,-0.81,0.33,[BEMA] ,AWL CONJ EX GER JJ OSUB PHC POMD TO [PRESP] [SPIN] 
4-mistral,0.77,0.54,2.55,-0.65,-0.62,1.00,9.56,-0.67,-0.46,-0.52,-1.25,-0.93,-1.22,-0.77,0.63,-0.46,-0.70,0.15,0.14,1.67,0.74,5.55,10.07,0.65,0.21,-0.91,3.71,5.42,0.36,-2.26,-0.72,4.81,7.33,-0.31,-1.49,0.29,1.45,-0.28,-0.50,0,-1.24,-0.76,-1.00,-0.75,-0.62,-0.73,-1.45,-0.25,0.15,1.55,0.82,-1.28,-0.86,-0.11,11.50,-0.80,-0.32,0.00,-0.74,2.10,-0.76,-0.60,-0.82,-0.33,0.15,-0.81,1.72,RB ,AWL CONJ OSUB PHC POMD PRED SYNE THAC [SERE] [SUAV] 
1-mistral,-0.23,3.96,2.15,-0.65,-0.62,-1.14,7.25,-0.83,-0.06,-0.52,1.44,-1.50,-1.22,-0.80,-0.16,-0.46,-0.70,1.89,3.05,-0.15,4.70,4.91,1.89,-0.31,0.06,-0.91,5.66,5.58,-0.83,-2.15,-0.72,-1.06,-0.50,1.07,-1.49,3.07,1.18,-0.38,-0.50,0,-1.32,-0.64,-0.34,0.40,-0.62,-0.73,-1.14,-0.25,-1.65,3.27,-0.59,-0.29,-0.86,-0.63,10.50,-0.80,-0.48,0.00,-0.74,1.81,-0.24,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,RB ,ANDC AWL CONJ NEMD NOMZ OSUB POMD PRED TO [PIRE] [SERE] 
6-mistral,-0.08,4.27,3.05,-0.65,-0.62,-1.14,10.19,-1.17,-0.44,-0.52,1.88,0.29,-1.22,-0.66,0.79,-0.46,-0.70,4.22,0.19,0.13,3.48,1.36,5.22,-1.30,-1.10,-0.91,6.91,0.12,-1.33,-2.02,-0.72,2.06,3.67,0.59,-1.49,-0.43,1.55,-0.11,2.62,0,-1.24,-0.88,-0.98,-2.19,-0.62,-0.73,-0.32,-0.25,-1.17,-0.64,6.76,-0.77,-0.86,5.98,-0.25,-0.80,-0.20,50000.00,0.19,1.48,3.51,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,RB [BEMA] ,ANDC AWL CONJ JJ NOMZ PHC POMD SYNE THAC TSUB [PRESP] [PUBV] [SPIN] [THATD] 
9-mistral,-1.04,2.54,3.27,-0.65,-0.62,-1.14,6.75,-0.64,0.04,-0.52,-1.25,0.21,-1.22,-0.03,-1.21,-0.46,-0.70,4.79,2.43,-0.90,5.10,1.27,5.81,-0.02,-0.44,0.50,3.80,3.73,-0.19,-2.23,-0.72,-1.06,3.50,2.17,-0.80,2.46,3.64,-1.33,5.50,0,-1.16,-1.29,-0.61,-1.46,-0.62,-0.73,-0.73,-0.25,-1.65,-0.64,-0.59,-0.13,-0.86,-0.54,-0.25,-0.80,-2.20,0.00,-0.74,3.71,-0.76,-0.60,-0.82,-0.33,-1.05,-0.03,-0.89,RB [SPAU] ,ANDC AWL CONJ JJ NEMD NOMZ PHC POMD PRED THAC THVC TO TOBJ TSUB [SUAV] 
7-mistral,-0.08,-0.42,3.63,-0.65,-0.62,0.00,5.38,-0.60,-0.96,-0.52,-1.25,-0.90,1.50,-0.67,0.74,-0.46,-0.70,1.07,-1.00,0.30,5.60,1.36,5.11,-0.20,0.97,0.53,5.34,5.73,-1.33,-2.06,-0.36,-1.06,-0.50,0.55,-0.77,0.84,1.55,-0.78,2.62,0,-1.32,-0.91,-1.39,-0.92,-0.62,-0.73,-1.45,6.00,-1.17,-0.64,0.88,-0.08,-0.86,-0.96,6.00,-0.80,-1.20,0.00,-0.74,2.23,-0.76,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,RB ,AWL CONJ NOMZ PHC POMD PRED TSUB [PASTP] [SERE] [SUAV] 
8-mistral,-1.04,1.67,3.00,-0.65,2.50,-1.14,3.94,0.02,-0.96,-0.52,3.44,0.29,-1.22,-0.95,-1.84,-0.46,-0.70,3.84,3.76,-0.56,6.45,3.64,8.04,-0.60,-0.75,0.56,4.09,3.00,-1.33,-1.31,-0.72,-1.06,-0.50,-0.28,-1.49,0.46,1.55,-0.88,8.88,0,-1.32,-1.31,-0.57,-1.40,-0.62,-0.59,-0.32,-0.25,-1.65,-0.64,3.82,0.44,-0.86,-0.50,12.25,-0.80,1.80,0.00,-0.74,3.10,-0.15,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,,AWL CONC CONJ DWNT JJ NEMD NOMZ OSUB PHC POMD PRED TSUB [PRESP] [SERE] [SUAV] 
0-mistral,-1.04,-0.46,3.60,-0.65,-0.62,-0.09,7.87,-1.81,-0.96,-0.52,0.19,1.24,-1.22,-0.87,4.79,-0.46,-0.70,3.12,2.29,-0.11,2.28,3.27,5.52,-1.10,-0.15,-0.91,8.17,-0.92,-1.33,-1.25,-0.72,-1.06,-0.50,-1.14,-1.49,2.25,1.36,-0.41,5.25,0,-1.32,-1.26,-1.02,-2.49,-0.62,-0.60,-0.41,-0.25,-1.65,-0.64,3.47,1.80,-0.86,0.70,-0.25,-0.80,-1.28,0.00,-0.74,0.55,0.93,1.70,-0.82,-0.33,1.25,-0.81,-0.89,[BEMA] ,AWL CONJ GER JJ NEMD NOMZ OSUB PHC POMD TO TSUB [PRESP] 
mistral,-0.42,1.46,2.90,-0.52,-0.31,-0.61,6.75,-0.82,-0.31,-0.52,0.48,-0.22,-0.58,-0.54,0.40,-0.46,-0.70,2.49,1.39,0.01,3.91,3.80,6.78,-0.46,-0.19,-0.48,5.11,2.80,-0.90,-2.03,-0.68,-0.16,1.10,0.43,-1.23,1.66,1.78,-0.51,4.07,0.00,-1.26,-0.94,-0.83,-1.35,-0.46,-0.70,-0.86,0.90,-1.25,0.74,2.30,-0.01,-0.86,0.44,5.45,-0.80,-0.62,9300.00,-0.65,2.73,0.16,-0.37,-0.69,-0.33,-0.48,-0.66,-0.51,RB ,AWL CONJ JJ NOMZ OSUB PHC POMD PRED TSUB [PRESP] [SERE] [SPIN] [SUAV] 
